;road_0_1_0 r g,road_1_0_1 r r,road_1_2_3 r r,road_2_1_2 r g,
18.266666666666596 4.5 3.141592653589793 flow_2_0 0 5.0 2.0,-4.5 10.766666666666595 -1.5707963267948966 flow_0_0 0 5.0 2.0,-55.76666666666662 -4.5 0.0 flow_22_0 0 5.0 2.0,-48.266666666666569 -4.5 0.0 flow_17_0 0 5.0 2.0,48.266666666666569 4.5 3.141592653589793 flow_24_0 0 5.0 2.0,25.766666666666596 4.5 3.141592653589793 flow_3_0 0 5.0 2.0,175.565 4.5 3.141592653589793 flow_33_0 0 5.0 2.0,-160.05018858753827 4.5 3.141592653589793 flow_26_0 0 5.0 2.0,55.76666666666662 4.5 3.141592653589793 flow_29_0 0 5.0 2.0,-63.26666666666662 -4.5 0.0 flow_28_0 0 5.0 2.0,4.5 235.50500000000023 1.5707963267948966 flow_19_0 0 5.0 2.0,-193.3801885875383 1.5 3.141592653589793 flow_21_0 0 5.0 2.0,-40.766666666666598 -4.5 0.0 flow_14_0 0 5.0 2.0,40.766666666666598 4.5 3.141592653589793 flow_7_0 0 5.0 2.0,10.766666666666595 4.5 3.141592653589793 flow_1_0 0 5.0 2.0,-10.766666666666595 -1.5 0.0 flow_12_0 0 5.0 2.0,4.5 -175.565 1.5707963267948966 flow_34_0 0 5.0 2.0,-4.5 291.0 -1.5707963267948966 flow_35_0 0 5.0 2.0,-18.266666666666596 -1.5 0.0 flow_23_0 0 5.0 2.0,1.5 268.83500000000029 1.5707963267948966 flow_18_0 0 5.0 2.0,33.266666666666598 4.5 3.141592653589793 flow_5_0 0 5.0 2.0,0.6971603036520426 -7.676682372839045 2.0176387952806609 flow_31_0 0 5.0 2.0,1.5 135.51500000000017 1.5707963267948966 flow_27_0 0 5.0 2.0,4.5 2.19500000000015 1.5707963267948966 flow_30_0 0 5.0 2.0,4.5 -299.0 1.5707963267948966 flow_36_0 0 5.0 2.0,63.26666666666662 4.5 3.141592653589793 flow_32_0 0 5.0 2.0,-33.266666666666598 -4.5 0.0 flow_11_0 0 5.0 2.0,-18.266666666666596 -4.5 0.0 flow_6_0 0 5.0 2.0,4.5 168.84500000000015 1.5707963267948966 flow_25_0 0 5.0 2.0,-10.766666666666595 -4.5 0.0 flow_4_0 0 5.0 2.0,1.5 202.17500000000019 1.5707963267948966 flow_20_0 0 5.0 2.0,-25.766666666666596 -4.5 0.0 flow_8_0 0 5.0 2.0,;road_0_1_0 r r,road_1_0_1 g g,road_1_2_3 r r,road_2_1_2 r r,
18.266666666666596 4.5 3.141592653589793 flow_2_0 0 5.0 2.0,-4.5 10.766666666666595 -1.5707963267948966 flow_0_0 0 5.0 2.0,-55.76666666666662 -4.5 0.0 flow_22_0 0 5.0 2.0,-48.266666666666569 -4.5 0.0 flow_17_0 0 5.0 2.0,48.266666666666569 4.5 3.141592653589793 flow_24_0 0 5.0 2.0,25.766666666666596 4.5 3.141592653589793 flow_3_0 0 5.0 2.0,164.455 4.5 3.141592653589793 flow_33_0 0 5.0 2.0,-171.16018858753825 4.5 3.141592653589793 flow_26_0 0 5.0 2.0,55.76666666666662 4.5 3.141592653589793 flow_29_0 0 5.0 2.0,-63.26666666666662 -4.5 0.0 flow_28_0 0 5.0 2.0,4.5 246.61500000000025 1.5707963267948966 flow_19_0 0 5.0 2.0,-204.49018858753829 1.5 3.141592653589793 flow_21_0 0 5.0 2.0,-40.766666666666598 -4.5 0.0 flow_14_0 0 5.0 2.0,40.766666666666598 4.5 3.141592653589793 flow_7_0 0 5.0 2.0,10.766666666666595 4.5 3.141592653589793 flow_1_0 0 5.0 2.0,-10.766666666666595 -1.5 0.0 flow_12_0 0 5.0 2.0,4.5 -164.455 1.5707963267948966 flow_34_0 0 5.0 2.0,-4.5 284.0 -1.5707963267948966 flow_35_0 0 5.0 2.0,-18.266666666666596 -1.5 0.0 flow_23_0 0 5.0 2.0,1.5 279.9450000000003 1.5707963267948966 flow_18_0 0 5.0 2.0,33.266666666666598 4.5 3.141592653589793 flow_5_0 0 5.0 2.0,-5.513563487456372 -0.7823094240409635 2.4641545895547218 flow_31_0 0 5.0 2.0,1.5 146.62500000000015 1.5707963267948966 flow_27_0 0 5.0 2.0,4.5 13.305000000000149 1.5707963267948966 flow_30_0 0 5.0 2.0,4.5 -296.0 1.5707963267948966 flow_36_0 0 5.0 2.0,63.26666666666662 4.5 3.141592653589793 flow_32_0 0 5.0 2.0,-33.266666666666598 -4.5 0.0 flow_11_0 0 5.0 2.0,-18.266666666666596 -4.5 0.0 flow_6_0 0 5.0 2.0,4.5 179.95500000000016 1.5707963267948966 flow_25_0 0 5.0 2.0,-10.766666666666595 -4.5 0.0 flow_4_0 0 5.0 2.0,1.5 213.2850000000002 1.5707963267948966 flow_20_0 0 5.0 2.0,-25.766666666666596 -4.5 0.0 flow_8_0 0 5.0 2.0,;road_0_1_0 r r,road_1_0_1 g g,road_1_2_3 r r,road_2_1_2 r r,
18.266666666666596 4.5 3.141592653589793 flow_2_0 0 5.0 2.0,-4.5 10.766666666666595 -1.5707963267948966 flow_0_0 0 5.0 2.0,-55.76666666666662 -4.5 0.0 flow_22_0 0 5.0 2.0,-48.266666666666569 -4.5 0.0 flow_17_0 0 5.0 2.0,48.266666666666569 4.5 3.141592653589793 flow_24_0 0 5.0 2.0,25.766666666666596 4.5 3.141592653589793 flow_3_0 0 5.0 2.0,153.34500000000004 4.5 3.141592653589793 flow_33_0 0 5.0 2.0,-182.27018858753827 4.5 3.141592653589793 flow_26_0 0 5.0 2.0,55.76666666666662 4.5 3.141592653589793 flow_29_0 0 5.0 2.0,-63.26666666666662 -4.5 0.0 flow_28_0 0 5.0 2.0,4.5 257.72500000000027 1.5707963267948966 flow_19_0 0 5.0 2.0,-215.6001885875383 1.5 3.141592653589793 flow_21_0 0 5.0 2.0,-40.766666666666598 -4.5 0.0 flow_14_0 0 5.0 2.0,40.766666666666598 4.5 3.141592653589793 flow_7_0 0 5.0 2.0,10.766666666666595 4.5 3.141592653589793 flow_1_0 0 5.0 2.0,-10.766666666666595 -1.5 0.0 flow_12_0 0 5.0 2.0,4.5 -153.34500000000004 1.5707963267948966 flow_34_0 0 5.0 2.0,-4.5 275.0 -1.5707963267948966 flow_35_0 0 5.0 2.0,-18.266666666666596 -1.5 0.0 flow_23_0 0 5.0 2.0,1.5 291.0550000000003 1.5707963267948966 flow_18_0 0 5.0 2.0,33.266666666666598 4.5 3.141592653589793 flow_5_0 0 5.0 2.0,-15.620188587538224 1.5 3.141592653589793 flow_31_0 0 5.0 2.0,1.5 157.73500000000014 1.5707963267948966 flow_27_0 0 5.0 2.0,4.5 24.41500000000015 1.5707963267948966 flow_30_0 0 5.0 2.0,4.5 -291.0 1.5707963267948966 flow_36_0 0 5.0 2.0,63.26666666666662 4.5 3.141592653589793 flow_32_0 0 5.0 2.0,-33.266666666666598 -4.5 0.0 flow_11_0 0 5.0 2.0,-18.266666666666596 -4.5 0.0 flow_6_0 0 5.0 2.0,4.5 191.06500000000018 1.5707963267948966 flow_25_0 0 5.0 2.0,-10.766666666666595 -4.5 0.0 flow_4_0 0 5.0 2.0,1.5 224.3950000000002 1.5707963267948966 flow_20_0 0 5.0 2.0,-25.766666666666596 -4.5 0.0 flow_8_0 0 5.0 2.0,;road_0_1_0 r r,road_1_0_1 g g,road_1_2_3 r r,road_2_1_2 r r,
18.266666666666596 4.5 3.141592653589793 flow_2_0 0 5.0 2.0,-4.5 10.766666666666595 -1.5707963267948966 flow_0_0 0 5.0 2.0,-55.76666666666662 -4.5 0.0 flow_22_0 0 5.0 2.0,-48.266666666666569 -4.5 0.0 flow_17_0 0 5.0 2.0,48.266666666666569 4.5 3.141592653589793 flow_24_0 0 5.0 2.0,25.766666666666596 4.5 3.141592653589793 flow_3_0 0 5.0 2.0,142.235 4.5 3.141592653589793 flow_33_0 0 5.0 2.0,-193.3801885875383 4.5 3.141592653589793 flow_26_0 0 5.0 2.0,55.76666666666662 4.5 3.141592653589793 flow_29_0 0 5.0 2.0,-63.26666666666662 -4.5 0.0 flow_28_0 0 5.0 2.0,4.5 268.83500000000029 1.5707963267948966 flow_19_0 0 5.0 2.0,-226.71018858753829 1.5 3.141592653589793 flow_21_0 0 5.0 2.0,-40.766666666666598 -4.5 0.0 flow_14_0 0 5.0 2.0,40.766666666666598 4.5 3.141592653589793 flow_7_0 0 5.0 2.0,10.766666666666595 4.5 3.141592653589793 flow_1_0 0 5.0 2.0,-10.766666666666595 -1.5 0.0 flow_12_0 0 5.0 2.0,4.5 -142.235 1.5707963267948966 flow_34_0 0 5.0 2.0,-4.5 264.445 -1.5707963267948966 flow_35_0 0 5.0 2.0,-18.266666666666596 -1.5 0.0 flow_23_0 0 5.0 2.0,33.266666666666598 4.5 3.141592653589793 flow_5_0 0 5.0 2.0,-26.730188587538224 1.5 3.141592653589793 flow_31_0 0 5.0 2.0,1.5 168.84500000000015 1.5707963267948966 flow_27_0 0 5.0 2.0,4.5 35.52500000000015 1.5707963267948966 flow_30_0 0 5.0 2.0,4.5 -284.0 1.5707963267948966 flow_36_0 0 5.0 2.0,63.26666666666662 4.5 3.141592653589793 flow_32_0 0 5.0 2.0,-33.266666666666598 -4.5 0.0 flow_11_0 0 5.0 2.0,-18.266666666666596 -4.5 0.0 flow_6_0 0 5.0 2.0,4.5 202.17500000000019 1.5707963267948966 flow_25_0 0 5.0 2.0,-10.766666666666595 -4.5 0.0 flow_4_0 0 5.0 2.0,1.5 235.50500000000023 1.5707963267948966 flow_20_0 0 5.0 2.0,4.5 -299.0 1.5707963267948966 flow_37_0 0 5.0 2.0,-25.766666666666596 -4.5 0.0 flow_8_0 0 5.0 2.0,;road_0_1_0 r r,road_1_0_1 g g,road_1_2_3 r r,road_2_1_2 r r,
18.266666666666596 4.5 3.141592653589793 flow_2_0 0 5.0 2.0,-4.5 10.766666666666595 -1.5707963267948966 flow_0_0 0 5.0 2.0,-55.76666666666662 -4.5 0.0 flow_22_0 0 5.0 2.0,-48.266666666666569 -4.5 0.0 flow_17_0 0 5.0 2.0,48.266666666666569 4.5 3.141592653589793 flow_24_0 0 5.0 2.0,25.766666666666596 4.5 3.141592653589793 flow_3_0 0 5.0 2.0,131.125 4.5 3.141592653589793 flow_33_0 0 5.0 2.0,-204.49018858753829 4.5 3.141592653589793 flow_26_0 0 5.0 2.0,55.76666666666662 4.5 3.141592653589793 flow_29_0 0 5.0 2.0,-63.26666666666662 -4.5 0.0 flow_28_0 0 5.0 2.0,4.5 279.9450000000003 1.5707963267948966 flow_19_0 0 5.0 2.0,-237.82018858753833 1.5 3.141592653589793 flow_21_0 0 5.0 2.0,-40.766666666666598 -4.5 0.0 flow_14_0 0 5.0 2.0,40.766666666666598 4.5 3.141592653589793 flow_7_0 0 5.0 2.0,10.766666666666595 4.5 3.141592653589793 flow_1_0 0 5.0 2.0,-10.766666666666595 -1.5 0.0 flow_12_0 0 5.0 2.0,4.5 -131.125 1.5707963267948966 flow_34_0 0 5.0 2.0,-4.5 253.335 -1.5707963267948966 flow_35_0 0 5.0 2.0,-18.266666666666596 -1.5 0.0 flow_23_0 0 5.0 2.0,33.266666666666598 4.5 3.141592653589793 flow_5_0 0 5.0 2.0,-37.84018858753822 1.5 3.141592653589793 flow_31_0 0 5.0 2.0,-299.0 -4.5 0.0 flow_38_0 0 5.0 2.0,1.5 179.95500000000016 1.5707963267948966 flow_27_0 0 5.0 2.0,4.5 46.63500000000014 1.5707963267948966 flow_30_0 0 5.0 2.0,4.5 -275.0 1.5707963267948966 flow_36_0 0 5.0 2.0,63.26666666666662 4.5 3.141592653589793 flow_32_0 0 5.0 2.0,-33.266666666666598 -4.5 0.0 flow_11_0 0 5.0 2.0,-18.266666666666596 -4.5 0.0 flow_6_0 0 5.0 2.0,4.5 213.2850000000002 1.5707963267948966 flow_25_0 0 5.0 2.0,-10.766666666666595 -4.5 0.0 flow_4_0 0 5.0 2.0,1.5 246.61500000000025 1.5707963267948966 flow_20_0 0 5.0 2.0,4.5 -296.0 1.5707963267948966 flow_37_0 0 5.0 2.0,-25.766666666666596 -4.5 0.0 flow_8_0 0 5.0 2.0,;road_0_1_0 r r,road_1_0_1 g g,road_1_2_3 r r,road_2_1_2 r r,
18.266666666666596 4.5 3.141592653589793 flow_2_0 0 5.0 2.0,-4.5 10.766666666666595 -1.5707963267948966 flow_0_0 0 5.0 2.0,-55.76666666666662 -4.5 0.0 flow_22_0 0 5.0 2.0,-48.266666666666569 -4.5 0.0 flow_17_0 0 5.0 2.0,48.266666666666569 4.5 3.141592653589793 flow_24_0 0 5.0 2.0,25.766666666666596 4.5 3.141592653589793 flow_3_0 0 5.0 2.0,120.01499999999999 4.5 3.141592653589793 flow_33_0 0 5.0 2.0,-215.6001885875383 4.5 3.141592653589793 flow_26_0 0 5.0 2.0,55.76666666666662 4.5 3.141592653589793 flow_29_0 0 5.0 2.0,-63.26666666666662 -4.5 0.0 flow_28_0 0 5.0 2.0,4.5 291.0550000000003 1.5707963267948966 flow_19_0 0 5.0 2.0,-248.93018858753835 1.5 3.141592653589793 flow_21_0 0 5.0 2.0,-40.766666666666598 -4.5 0.0 flow_14_0 0 5.0 2.0,40.766666666666598 4.5 3.141592653589793 flow_7_0 0 5.0 2.0,10.766666666666595 4.5 3.141592653589793 flow_1_0 0 5.0 2.0,-10.766666666666595 -1.5 0.0 flow_12_0 0 5.0 2.0,4.5 -120.01499999999999 1.5707963267948966 flow_34_0 0 5.0 2.0,-4.5 242.225 -1.5707963267948966 flow_35_0 0 5.0 2.0,-18.266666666666596 -1.5 0.0 flow_23_0 0 5.0 2.0,33.266666666666598 4.5 3.141592653589793 flow_5_0 0 5.0 2.0,-48.95018858753822 1.5 3.141592653589793 flow_31_0 0 5.0 2.0,-296.0 -4.5 0.0 flow_38_0 0 5.0 2.0,1.5 191.06500000000018 1.5707963267948966 flow_27_0 0 5.0 2.0,4.5 57.74500000000015 1.5707963267948966 flow_30_0 0 5.0 2.0,4.5 -264.445 1.5707963267948966 flow_36_0 0 5.0 2.0,63.26666666666662 4.5 3.141592653589793 flow_32_0 0 5.0 2.0,-33.266666666666598 -4.5 0.0 flow_11_0 0 5.0 2.0,-18.266666666666596 -4.5 0.0 flow_6_0 0 5.0 2.0,4.5 224.3950000000002 1.5707963267948966 flow_25_0 0 5.0 2.0,-10.766666666666595 -4.5 0.0 flow_4_0 0 5.0 2.0,1.5 257.72500000000027 1.5707963267948966 flow_20_0 0 5.0 2.0,4.5 -291.0 1.5707963267948966 flow_37_0 0 5.0 2.0,-25.766666666666596 -4.5 0.0 flow_8_0 0 5.0 2.0,;road_0_1_0 r r,road_1_0_1 g g,road_1_2_3 r r,road_2_1_2 r r,
18.266666666666596 4.5 3.141592653589793 flow_2_0 0 5.0 2.0,-4.5 10.766666666666595 -1.5707963267948966 flow_0_0 0 5.0 2.0,-55.76666666666662 -4.5 0.0 flow_22_0 0 5.0 2.0,-48.266666666666569 -4.5 0.0 flow_17_0 0 5.0 2.0,48.266666666666569 4.5 3.141592653589793 flow_24_0 0 5.0 2.0,25.766666666666596 4.5 3.141592653589793 flow_3_0 0 5.0 2.0,108.90499999999997 4.5 3.141592653589793 flow_33_0 0 5.0 2.0,-226.71018858753829 4.5 3.141592653589793 flow_26_0 0 5.0 2.0,55.76666666666662 4.5 3.141592653589793 flow_29_0 0 5.0 2.0,-63.26666666666662 -4.5 0.0 flow_28_0 0 5.0 2.0,-260.0401885875383 1.5 3.141592653589793 flow_21_0 0 5.0 2.0,-40.766666666666598 -4.5 0.0 flow_14_0 0 5.0 2.0,40.766666666666598 4.5 3.141592653589793 flow_7_0 0 5.0 2.0,10.766666666666595 4.5 3.141592653589793 flow_1_0 0 5.0 2.0,-10.766666666666595 -1.5 0.0 flow_12_0 0 5.0 2.0,4.5 -108.90499999999997 1.5707963267948966 flow_34_0 0 5.0 2.0,-4.5 231.115 -1.5707963267948966 flow_35_0 0 5.0 2.0,-18.266666666666596 -1.5 0.0 flow_23_0 0 5.0 2.0,33.266666666666598 4.5 3.141592653589793 flow_5_0 0 5.0 2.0,4.5 -299.0 1.5707963267948966 flow_39_0 0 5.0 2.0,-60.06018858753822 1.5 3.141592653589793 flow_31_0 0 5.0 2.0,-291.0 -4.5 0.0 flow_38_0 0 5.0 2.0,1.5 202.17500000000019 1.5707963267948966 flow_27_0 0 5.0 2.0,4.5 68.85500000000016 1.5707963267948966 flow_30_0 0 5.0 2.0,4.5 -253.335 1.5707963267948966 flow_36_0 0 5.0 2.0,63.26666666666662 4.5 3.141592653589793 flow_32_0 0 5.0 2.0,-33.266666666666598 -4.5 0.0 flow_11_0 0 5.0 2.0,-18.266666666666596 -4.5 0.0 flow_6_0 0 5.0 2.0,4.5 235.50500000000023 1.5707963267948966 flow_25_0 0 5.0 2.0,-10.766666666666595 -4.5 0.0 flow_4_0 0 5.0 2.0,1.5 268.83500000000029 1.5707963267948966 flow_20_0 0 5.0 2.0,4.5 -284.0 1.5707963267948966 flow_37_0 0 5.0 2.0,-25.766666666666596 -4.5 0.0 flow_8_0 0 5.0 2.0,;road_0_1_0 r r,road_1_0_1 g g,road_1_2_3 r r,road_2_1_2 r r,
18.266666666666596 4.5 3.141592653589793 flow_2_0 0 5.0 2.0,-4.5 10.766666666666595 -1.5707963267948966 flow_0_0 0 5.0 2.0,-55.76666666666662 -4.5 0.0 flow_22_0 0 5.0 2.0,-48.266666666666569 -4.5 0.0 flow_17_0 0 5.0 2.0,48.266666666666569 4.5 3.141592653589793 flow_24_0 0 5.0 2.0,25.766666666666596 4.5 3.141592653589793 flow_3_0 0 5.0 2.0,97.79499999999996 4.5 3.141592653589793 flow_33_0 0 5.0 2.0,-237.82018858753833 4.5 3.141592653589793 flow_26_0 0 5.0 2.0,55.76666666666662 4.5 3.141592653589793 flow_29_0 0 5.0 2.0,-63.26666666666662 -4.5 0.0 flow_28_0 0 5.0 2.0,-271.15018858753839 1.5 3.141592653589793 flow_21_0 0 5.0 2.0,-40.766666666666598 -4.5 0.0 flow_14_0 0 5.0 2.0,40.766666666666598 4.5 3.141592653589793 flow_7_0 0 5.0 2.0,10.766666666666595 4.5 3.141592653589793 flow_1_0 0 5.0 2.0,-10.766666666666595 -1.5 0.0 flow_12_0 0 5.0 2.0,4.5 -97.79499999999996 1.5707963267948966 flow_34_0 0 5.0 2.0,-4.5 220.005 -1.5707963267948966 flow_35_0 0 5.0 2.0,-18.266666666666596 -1.5 0.0 flow_23_0 0 5.0 2.0,33.266666666666598 4.5 3.141592653589793 flow_5_0 0 5.0 2.0,4.5 -296.0 1.5707963267948966 flow_39_0 0 5.0 2.0,-71.17018858753822 1.5 3.141592653589793 flow_31_0 0 5.0 2.0,-284.0 -4.5 0.0 flow_38_0 0 5.0 2.0,1.5 213.2850000000002 1.5707963267948966 flow_27_0 0 5.0 2.0,4.5 79.96500000000015 1.5707963267948966 flow_30_0 0 5.0 2.0,4.5 -242.225 1.5707963267948966 flow_36_0 0 5.0 2.0,63.26666666666662 4.5 3.141592653589793 flow_32_0 0 5.0 2.0,-33.266666666666598 -4.5 0.0 flow_11_0 0 5.0 2.0,-18.266666666666596 -4.5 0.0 flow_6_0 0 5.0 2.0,4.5 246.61500000000025 1.5707963267948966 flow_25_0 0 5.0 2.0,-10.766666666666595 -4.5 0.0 flow_4_0 0 5.0 2.0,1.5 279.9450000000003 1.5707963267948966 flow_20_0 0 5.0 2.0,4.5 -275.0 1.5707963267948966 flow_37_0 0 5.0 2.0,-25.766666666666596 -4.5 0.0 flow_8_0 0 5.0 2.0,;road_0_1_0 r r,road_1_0_1 g g,road_1_2_3 r r,road_2_1_2 r r,
18.266666666666596 4.5 3.141592653589793 flow_2_0 0 5.0 2.0,-4.5 10.766666666666595 -1.5707963267948966 flow_0_0 0 5.0 2.0,-55.76666666666662 -4.5 0.0 flow_22_0 0 5.0 2.0,-48.266666666666569 -4.5 0.0 flow_17_0 0 5.0 2.0,48.266666666666569 4.5 3.141592653589793 flow_24_0 0 5.0 2.0,25.766666666666596 4.5 3.141592653589793 flow_3_0 0 5.0 2.0,86.68499999999995 4.5 3.141592653589793 flow_33_0 0 5.0 2.0,-248.93018858753835 4.5 3.141592653589793 flow_26_0 0 5.0 2.0,55.76666666666662 4.5 3.141592653589793 flow_29_0 0 5.0 2.0,-63.26666666666662 -4.5 0.0 flow_28_0 0 5.0 2.0,-282.2601885875384 1.5 3.141592653589793 flow_21_0 0 5.0 2.0,-40.766666666666598 -4.5 0.0 flow_14_0 0 5.0 2.0,40.766666666666598 4.5 3.141592653589793 flow_7_0 0 5.0 2.0,10.766666666666595 4.5 3.141592653589793 flow_1_0 0 5.0 2.0,-10.766666666666595 -1.5 0.0 flow_12_0 0 5.0 2.0,4.5 -86.68499999999995 1.5707963267948966 flow_34_0 0 5.0 2.0,-4.5 208.89499999999999 -1.5707963267948966 flow_35_0 0 5.0 2.0,-18.266666666666596 -1.5 0.0 flow_23_0 0 5.0 2.0,33.266666666666598 4.5 3.141592653589793 flow_5_0 0 5.0 2.0,4.5 -291.0 1.5707963267948966 flow_39_0 0 5.0 2.0,-82.28018858753822 1.5 3.141592653589793 flow_31_0 0 5.0 2.0,-275.0 -4.5 0.0 flow_38_0 0 5.0 2.0,1.5 224.3950000000002 1.5707963267948966 flow_27_0 0 5.0 2.0,4.5 91.07500000000015 1.5707963267948966 flow_30_0 0 5.0 2.0,4.5 -231.115 1.5707963267948966 flow_36_0 0 5.0 2.0,63.26666666666662 4.5 3.141592653589793 flow_32_0 0 5.0 2.0,-33.266666666666598 -4.5 0.0 flow_11_0 0 5.0 2.0,-18.266666666666596 -4.5 0.0 flow_6_0 0 5.0 2.0,4.5 257.72500000000027 1.5707963267948966 flow_25_0 0 5.0 2.0,-10.766666666666595 -4.5 0.0 flow_4_0 0 5.0 2.0,1.5 291.0550000000003 1.5707963267948966 flow_20_0 0 5.0 2.0,4.5 -264.445 1.5707963267948966 flow_37_0 0 5.0 2.0,-25.766666666666596 -4.5 0.0 flow_8_0 0 5.0 2.0,;road_0_1_0 r r,road_1_0_1 g g,road_1_2_3 r r,road_2_1_2 r r,
18.266666666666596 4.5 3.141592653589793 flow_2_0 0 5.0 2.0,-4.5 10.766666666666595 -1.5707963267948966 flow_0_0 0 5.0 2.0,-55.76666666666662 -4.5 0.0 flow_22_0 0 5.0 2.0,-48.266666666666569 -4.5 0.0 flow_17_0 0 5.0 2.0,48.266666666666569 4.5 3.141592653589793 flow_24_0 0 5.0 2.0,25.766666666666596 4.5 3.141592653589793 flow_3_0 0 5.0 2.0,77.44633333333329 4.5 3.141592653589793 flow_33_0 0 5.0 2.0,-260.0401885875383 4.5 3.141592653589793 flow_26_0 0 5.0 2.0,55.76666666666662 4.5 3.141592653589793 flow_29_0 0 5.0 2.0,-63.26666666666662 -4.5 0.0 flow_28_0 0 5.0 2.0,-293.3701885875384 1.5 3.141592653589793 flow_21_0 0 5.0 2.0,-40.766666666666598 -4.5 0.0 flow_14_0 0 5.0 2.0,40.766666666666598 4.5 3.141592653589793 flow_7_0 0 5.0 2.0,10.766666666666595 4.5 3.141592653589793 flow_1_0 0 5.0 2.0,-10.766666666666595 -1.5 0.0 flow_12_0 0 5.0 2.0,4.5 -75.57499999999993 1.5707963267948966 flow_34_0 0 5.0 2.0,-4.5 197.78500000000003 -1.5707963267948966 flow_35_0 0 5.0 2.0,-18.266666666666596 -1.5 0.0 flow_23_0 0 5.0 2.0,33.266666666666598 4.5 3.141592653589793 flow_5_0 0 5.0 2.0,4.5 -284.0 1.5707963267948966 flow_39_0 0 5.0 2.0,-93.39018858753822 1.5 3.141592653589793 flow_31_0 0 5.0 2.0,-299.0 -4.5 0.0 flow_40_0 0 5.0 2.0,-264.445 -4.5 0.0 flow_38_0 0 5.0 2.0,1.5 235.50500000000023 1.5707963267948966 flow_27_0 0 5.0 2.0,4.5 102.18500000000015 1.5707963267948966 flow_30_0 0 5.0 2.0,4.5 -220.005 1.5707963267948966 flow_36_0 0 5.0 2.0,63.26666666666662 4.5 3.141592653589793 flow_32_0 0 5.0 2.0,-33.266666666666598 -4.5 0.0 flow_11_0 0 5.0 2.0,-18.266666666666596 -4.5 0.0 flow_6_0 0 5.0 2.0,4.5 268.83500000000029 1.5707963267948966 flow_25_0 0 5.0 2.0,-10.766666666666595 -4.5 0.0 flow_4_0 0 5.0 2.0,4.5 -253.335 1.5707963267948966 flow_37_0 0 5.0 2.0,-25.766666666666596 -4.5 0.0 flow_8_0 0 5.0 2.0,;road_0_1_0 r r,road_1_0_1 g g,road_1_2_3 r r,road_2_1_2 r r,
18.266666666666596 4.5 3.141592653589793 flow_2_0 0 5.0 2.0,-4.5 10.766666666666595 -1.5707963267948966 flow_0_0 0 5.0 2.0,-55.76666666666662 -4.5 0.0 flow_22_0 0 5.0 2.0,-48.266666666666569 -4.5 0.0 flow_17_0 0 5.0 2.0,48.266666666666569 4.5 3.141592653589793 flow_24_0 0 5.0 2.0,25.766666666666596 4.5 3.141592653589793 flow_3_0 0 5.0 2.0,72.0580686386775 4.5 3.141592653589793 flow_33_0 0 5.0 2.0,-271.15018858753839 4.5 3.141592653589793 flow_26_0 0 5.0 2.0,55.76666666666662 4.5 3.141592653589793 flow_29_0 0 5.0 2.0,-63.26666666666662 -4.5 0.0 flow_28_0 0 5.0 2.0,-40.766666666666598 -4.5 0.0 flow_14_0 0 5.0 2.0,40.766666666666598 4.5 3.141592653589793 flow_7_0 0 5.0 2.0,10.766666666666595 4.5 3.141592653589793 flow_1_0 0 5.0 2.0,4.5 -299.0 1.5707963267948966 flow_41_0 0 5.0 2.0,-10.766666666666595 -1.5 0.0 flow_12_0 0 5.0 2.0,4.5 -64.46499999999992 1.5707963267948966 flow_34_0 0 5.0 2.0,-4.5 186.675 -1.5707963267948966 flow_35_0 0 5.0 2.0,-18.266666666666596 -1.5 0.0 flow_23_0 0 5.0 2.0,33.266666666666598 4.5 3.141592653589793 flow_5_0 0 5.0 2.0,4.5 -275.0 1.5707963267948966 flow_39_0 0 5.0 2.0,-104.50018858753822 1.5 3.141592653589793 flow_31_0 0 5.0 2.0,-296.0 -4.5 0.0 flow_40_0 0 5.0 2.0,-253.335 -4.5 0.0 flow_38_0 0 5.0 2.0,1.5 246.61500000000025 1.5707963267948966 flow_27_0 0 5.0 2.0,4.5 113.29500000000015 1.5707963267948966 flow_30_0 0 5.0 2.0,4.5 -208.89499999999999 1.5707963267948966 flow_36_0 0 5.0 2.0,63.26666666666662 4.5 3.141592653589793 flow_32_0 0 5.0 2.0,-33.266666666666598 -4.5 0.0 flow_11_0 0 5.0 2.0,-18.266666666666596 -4.5 0.0 flow_6_0 0 5.0 2.0,4.5 279.9450000000003 1.5707963267948966 flow_25_0 0 5.0 2.0,-10.766666666666595 -4.5 0.0 flow_4_0 0 5.0 2.0,4.5 -242.225 1.5707963267948966 flow_37_0 0 5.0 2.0,-25.766666666666596 -4.5 0.0 flow_8_0 0 5.0 2.0,;road_0_1_0 r r,road_1_0_1 g g,road_1_2_3 r r,road_2_1_2 r r,
